,alpha,distance,iters
0,1.0,1.8298625946044922e-05,12.0
1,1.0,1.0371208190917969e-05,20.0
2,1.0,8.225440979003906e-06,6.0
3,1.0,9.357929229736328e-06,10.0
4,1.0,1.1920928955078125e-06,1.0
5,1.0,1.4543533325195312e-05,6.0
6,1.0,9.894371032714844e-06,24.0
7,1.0,1.4662742614746094e-05,16.0
8,1.0,1.823902130126953e-05,7.0
9,1.0,2.9206275939941406e-06,1.0
10,1.0,2.199411392211914e-05,18.0
11,1.0,2.384185791015625e-06,1.0
12,1.0,3.0994415283203125e-05,5.0
13,1.0,1.8656253814697266e-05,13.0
14,1.0,1.6033649444580078e-05,14.0
15,1.0,1.239776611328125e-05,6.0
16,1.0,8.344650268554688e-07,1.0
17,1.0,3.4570693969726562e-06,3.0
18,1.0,1.8358230590820312e-05,11.0
19,1.0,8.821487426757812e-06,6.0
20,1.0,4.470348358154297e-05,12.0
21,1.0,1.2516975402832031e-06,1.0
22,1.0,1.1801719665527344e-05,8.0
23,1.0,4.589557647705078e-06,13.0
24,1.0,3.7610530853271484e-05,28.0
25,1.0,1.531839370727539e-05,9.0
26,1.0,2.0384788513183594e-05,3.0
27,1.0,9.238719940185547e-06,6.0
28,1.0,6.651878356933594e-05,7.0
29,1.0,1.245737075805664e-05,9.0
30,1.0,3.248453140258789e-05,13.0
31,1.0,5.0902366638183594e-05,4.0
32,1.0,5.0067901611328125e-05,8.0
33,1.0,1.3053417205810547e-05,10.0
34,1.0,7.033348083496094e-06,9.0
35,1.0,4.1425228118896484e-05,16.0
36,1.0,5.304813385009766e-06,5.0
37,1.0,6.020069122314453e-06,6.0
38,1.0,6.55055046081543e-05,6.0
39,1.0,4.0531158447265625e-06,6.0
40,1.0,5.781650543212891e-06,7.0
41,1.0,2.0444393157958984e-05,6.0
42,1.0,2.980232238769531e-07,1.0
43,1.0,2.3126602172851562e-05,25.0
44,1.0,7.224082946777344e-05,18.0
45,1.0,7.033348083496094e-06,10.0
46,1.0,3.820657730102539e-05,8.0
47,1.0,1.1622905731201172e-05,10.0
48,1.0,1.7404556274414062e-05,6.0
49,1.0,1.531839370727539e-05,4.0
50,1.0,1.4662742614746094e-05,15.0
51,1.0,8.58306884765625e-06,29.0
52,1.0,5.525350570678711e-05,28.0
53,1.0,3.2842159271240234e-05,7.0
54,1.0,8.940696716308594e-07,1.0
55,1.0,0.00010567903518676758,4.0
56,1.0,6.616115570068359e-06,14.0
57,1.0,1.0371208190917969e-05,10.0
58,1.0,2.47955322265625e-05,16.0
59,1.0,5.066394805908203e-06,11.0
60,1.0,2.7358531951904297e-05,16.0
61,1.0,1.4781951904296875e-05,14.0
62,1.0,1.3232231140136719e-05,19.0
63,1.0,1.3589859008789062e-05,7.0
64,1.0,1.7821788787841797e-05,19.0
65,1.0,2.9802322387695312e-06,4.0
66,1.0,3.695487976074219e-05,10.0
67,1.0,1.7881393432617188e-06,1.0
68,1.0,9.894371032714844e-06,14.0
69,1.0,6.9141387939453125e-06,10.0
70,1.0,1.7762184143066406e-05,19.0
71,1.0,7.62939453125e-06,2.0
72,1.0,7.092952728271484e-06,9.0
73,1.0,9.655952453613281e-06,3.0
74,1.0,1.7642974853515625e-05,6.0
75,1.0,5.364418029785156e-06,7.0
76,1.0,3.975629806518555e-05,18.0
77,1.0,1.3530254364013672e-05,12.0
78,1.0,3.3974647521972656e-06,7.0
79,1.0,2.8014183044433594e-06,2.0
80,1.0,1.5497207641601562e-06,1.0
81,1.0,3.0994415283203125e-06,2.0
82,1.0,1.817941665649414e-05,13.0
83,1.0,2.8192996978759766e-05,8.0
